id,yes1,no1,dk1,yes2,no2,dk2,yes3,no3,dk3,yes4,no4,dk4
AT,54,35,11,52,37,11,48,44,8,39,46,15
BE,47,41,12,49,42,9,48,45,7,51,35,14
BG,40,21,39,35,20,45,40,23,37,35,25,40
CY,54,20,26,54,20,26,47,22,31,42,29,29
CZ,55,33,12,56,32,12,57,31,12,40,30,30
DE,46,40,14,49,37,14,51,36,13,42,38,20
DK,18,76,6,18,76,6,21,73,6,17,74,9
EE,43,34,23,44,37,19,39,39,22,31,36,33
EL,44,43,13,51,38,11,47,43,10,52,37,11
ES,47,22,31,47,25,28,46,24,30,40,30,30
FI,23,71,6,23,70,7,23,70,7,16,74,10
FR,55,28,17,54,23,23,53,25,22,45,25,30
HU,33,34,33,45,34,21,51,33,16,65,29,6
IE,35,38,27,35,40,25,39,40,21,33,41,26
IT,42,30,28,42,34,24,40,36,24,42,25,33
LT,38,27,35,42,25,33,42,25,33,46,21,33
LU,48,33,19,50,39,11,39,40,21,32,47,21
LV,46,32,22,41,39,20,40,39,21,36,35,29
MT,37,17,46,35,17,48,37,21,42,44,24,32
NL,43,44,13,54,34,12,57,34,9,32,53,15
PL,63,17,20,63,16,21,60,18,22,59,16,25
PT,44,29,27,42,29,29,34,35,31,50,30,20
RO,37,25,38,28,33,39,34,32,34,53,24,23
SE,19,71,10,20,72,8,22,71,7,15,74,11
SI,44,36,20,44,39,17,42,49,9,44,37,19
SK,52,35,13,59,25,16,51,33,16,41,43,16
UK,24,52,24,26,50,24,27,50,23,21,48,31
EU,44,35,21,44,35,21,45,35,20,41,34,25
HR,,,,58,27,15,57,28,15,50,32,18
